argot_field,has parent,is parent?,vernacular treatment,vernacular status,type,argot-marc processor/pattern,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,definition,rationale,relevance importance (1=most imp),endeca equivalent,notes,implementation details,documentation,JIRA issue,issue ct,mapping ct,done in mta?,tests?,in schema?
title_variant[display],title_variant,n,na - no vernacular expected,{na},field element,title_variant,title,n,shared,"{0,1}",not indexed,x,x,x,x,x,"Whether the variant title data should display. Defaults to true. If false, the title will be indexed but not displayed",Many variant titles repeat data recorded elsewhere in the record.,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,4,n,n,.
title_variant[indexed_value],title_variant,n,vernacular processing needed,define new element - map/doc needed,field element,title_variant,title,n,shared,"{0,1}",title;;;keyword,x,x,x,x,x,Variant title data to be indexed if that value is different than what's in [value] element,.,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,2,n,n,.
title_variant[issn],title_variant,n,na - no vernacular expected,{na},field element,title_variant,title,n,shared,"{0,1}",ids;;;keyword,x,x,x,Other details > Variant title: or Former title: depending on [type] value,"When displayed, prepend "". ISSN:""",ISSN for former title,.,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,1,n,n,.
title_variant[label],title_variant,n,pass through/store vernacular -- no special processing,test/verification needed,field element,title_variant,title,n,shared,"{0,1}",not indexed,x,x,x,Other details > Variant title: or Former title: depending on [type] value,Not displayed if [display]=false,Contextualizing label specific to the data in the field,.,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,4,n,n,.
title_variant[lang],title_variant,n,na - supports vernacular processing,{na},field element,title_variant,title,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,0,n,y,.
title_variant[type],title_variant,n,na - no vernacular expected,{na},field element,title_variant,title,n,shared,"{0,1}",not indexed,x,x,x,x,Controls whether field label will be Variant title: or Former title:,Type of variant title field,.,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,4,n,n,.
title_variant[value],title_variant,n,vernacular processing needed,define new element - map/doc needed,field element,title_variant,title,n,shared,{1},title;;;keyword,x,x,x,Other details > Variant title: or Former title: depending on [type] value,Not displayed if [display]=false,"Variant title data to be displayed and, if [indexed_value] element is not populated, indexed",.,high,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_title_variant.adoc,https://trlnmain.atlassian.net/browse/TD-475,0,6,n,n,.
upc,x,y,parent field -- see child elements,{na},parent field,misc_id,ids,n,shared,"{0,n}",ids;;;keyword,y,x,x,Other details > (ids cluster) > UPC:,x,Universal product code,x,x,x,.,Follows misc_id pattern and documentation listed in https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-465,0,0,.,y,.
upc[qual],upc,n,pass through/store vernacular -- no special processing,test/verification needed,field element,misc_id,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > UPC:,x,Universal product code. Qualifying info only,Contextualizes the recorded UPC,x,x,.,Follows misc_id pattern and documentation listed in https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-465,0,2,.,y,.
upc[type],upc,n,na - no vernacular expected,{na},field element,misc_id,ids,n,shared,{1},not indexed,x,x,x,Other details > (ids cluster) > UPC:,x,"Label for the ID. Will be either: ""UPC"" or ""UPC (canceled or invalid)""",x,x,x,x,Follows misc_id pattern and documentation listed in https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-465,0,2,.,y,.
upc[value],upc,n,na - no vernacular expected,{na},field element,misc_id,ids,n,shared,{1},ids;;;keyword,x,x,x,Other details > (ids cluster) > UPC:,x,Universal product code. Indexed numeric portion,Syndetics API data match point. Possible search term,x,UPC,x,Follows misc_id pattern and documentation listed in https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-465,0,1,.,y,.
url,x,y,parent field -- see child elements,{na},parent field,array of serialized JSON strings not flattened,url,n,local,"{0,n}",not indexed,y,x,?,Depends on url[rel] value. Documentation will clarify this,x,.,.,x,Finding Aid URL;;;Primary URL;;;Repository URL;;;Secondary URL;;;Thumbnail URL,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/url.adoc,.,0,0,.,.,.
url[href],url,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,url,n,local,{1},not indexed,x,x,?,Depends on url[rel] value. Documentation will clarify this,x,The actual URL,Target location of hyperlink,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/url.adoc,.,0,1,.,.,.
url[restricted],url,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,url,n,local,"{0,1}",not indexed,x,x,x,x,x,"If true, access to resource at URL is restricted to institutional affiliates (via IP range or authentication). If false, resource at URL is freely available to anyone. Defaults to true if not explicitly set. ",Used to determine whether/how URLs will be shown in expand to TRLN for other institutions,x,Access Facet,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/url.adoc,.,0,3,n,.,.
url[text],url,n,pass through/store vernacular -- no special processing,test/verification needed,field element,array of serialized JSON strings not flattened,url,n,local,{1},not indexed,x,x,?,Depends on url[rel] value. Documentation will clarify this,x,Link text,The text that will be made into a clickable hyperlink pointing to the url[href] value,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/url.adoc,.,0,1,.,.,.
url[type],url,n,na - no vernacular expected,{na},field element,array of serialized JSON strings not flattened,url,n,local,{1},not indexed,x,x,x,x,x,"URL relator, or type of URL",Different types of URLs need to be displayed in different parts of the record and/or labeled differently,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/url.adoc,.,0,5,.,.,.
vendor_marc_id,x,n,na - no vernacular expected,{na},simple field,.,ids,n,local,"{0,n}",ids;;;keyword,x,x,x,x,"Index, but don't display. Users don't care about vendor MARC record ids, but this is potentially a useful thing for staff to search on",MARC record control number assigned by source other than OCLC,"Staff search, possibly of use for rolling up e-resources or other format records, if institutions use the same MARC record source",?,x,x,x,needed,.,0,1,y,.,.
virtual_collection,x,n,na - no vernacular expected,{na},simple field,.,meta,n,local,"{0,n}",virtual collection,x,? - hidden/backend-only facet,x,x,x,"Collection/group names searchable but not displayed anywhere. Can be used to scope special searches, power various logic, etc.",Needed by institutions.,x,x,x,x,needed,https://trlnmain.atlassian.net/browse/TD-404,0,1,y,y,.
